step,q,dq,qr,tau,r_pos,r_vel,th,dth
0,"[[-0.5228671453300323], [1.1402485123912278], [-0.5312339308389851]]","[[-0.054399235996594436], [0.11251168648582394], [0.05972576867041535]]","[[-0.5206682916903772], [0.985161876377241], [-0.5202808321003936]]","[[-1.077963291615621], [-20.01420174375305], [1.6969637221046419]]","[[0.971552104095766], [0.8377200397775195]]","[[0.00860063190133431], [-0.0021808433858350185]]",[[0.08614743622221066]],[[0.11783821915964485]]
1,"[[-0.5234515654549161], [1.1413382615692538], [-0.5306062015428069]]","[[-0.058602675586974004], [0.1056230308348117], [0.06488768393480032]]","[[-0.5216694540571908], [0.9850831674864032], [-0.5205821308639971]]","[[-1.118177549667991], [-20.125217930054262], [1.5063478904216074]]","[[0.9724153791619854], [0.8375093803566154]]","[[0.00865429856254929], [-0.0020405932998901477]]",[[0.08728049457153103]],[[0.11190803918036074]]
2,"[[-0.5240762961279031], [1.142360667844272], [-0.5299287892654315]]","[[-0.06247557763921911], [0.09902973464669187], [0.06968517591443918]]","[[-0.5226740362574525], [0.9849859081818613], [-0.5208270848472141]]","[[-1.156285041342584], [-20.2321538779257], [1.3203392175032795]]","[[0.9732834086750157], [0.8373123982127074]]","[[0.00869673408742111], [-0.001906990737665648]]",[[0.08835558245093751]],[[0.10623933292305072]]
3,"[[-0.5247381025238045], [1.1433186379521205], [-0.5292052628216092]]","[[-0.06603531415450946], [0.09272294260055705], [0.0741331073574441]]","[[-0.5236806898560398], [0.9848714042230376], [-0.521018467874033]]","[[-1.1923681346600437], [-20.335140198896955], [1.1389101529018917]]","[[0.9741550992716731], [0.8371284390747582]]","[[0.008728490497666996], [-0.0017798288683090746]]",[[0.08937527260670719]],[[0.10082073580235308]]
4,"[[-0.5254339203587194], [1.1442149897754927], [-0.5284390435533488]]","[[-0.06929840177899918], [0.08669375174119195], [0.07824606964182612]]","[[-0.5246881499746833], [0.9847409169393482], [-0.521158962967462]]","[[-1.2265061473883128], [-20.434301220978224], [0.9620272855897953]]","[[0.9750294120148026], [0.8369568696598447]]","[[0.008750105097410366], [-0.001658896056178083]]",[[0.090342025863426]],[[0.09564141960515762]]
5,"[[-0.5261608475811952], [1.1450524522113357], [-0.5276334082264718]]","[[-0.07228055711630384], [0.0809332721601877], [0.0820383527150132]]","[[-0.5256952323253397], [0.9845956599730742], [-0.5212511637201693]]","[[-1.2587755399202194], [-20.529756054118366], [0.7896518804626961]]","[[0.9759053609153173], [0.836797078037179]]","[[0.008762100388304273], [-0.0015439779333936698]]",[[0.09125819640366924]],[[0.09069106775775825]]
6,"[[-0.5269161366013104], [1.145833665556341], [-0.526791492176088]]","[[-0.07499674858490889], [0.07543267201132464], [0.0855239240322132]]","[[-0.5267008305055325], [0.9844367973010254], [-0.5212975759272864]]","[[-1.2892501077155496], [-20.62161937960018], [0.62174032015873]]","[[0.9767820114489708], [0.8366484738081299]]","[[0.008764984040388057], [-0.0014348590562707209]]",[[0.09212603677894385]],[[0.08595984746204498]]
7,"[[-0.5276971869861946], [1.1465611822723276], [-0.525916292628387]]","[[-0.07746123963744365], [0.07018321032697075], [0.0887164135939571]]","[[-0.5277039128683398], [0.9842654420835727], [-0.5213006193548704]]","[[-1.3180011253086144], [-20.71000204796373], [0.4582444916399485]]","[[0.977658479072219], [0.83651048813924]]","[[0.008759248898793093], [-0.0013313242305357242]]",[[0.09294770265774188]],[[0.08143838427892948]]
8,"[[-0.5285015385605063], [1.1472374680327544], [-0.5250106721474391]]","[[-0.07968762706652381], [0.06517626161540402], [0.09162910325936507]]","[[-0.5287035193574581], [0.9840826562634429], [-0.5212626296550529]]","[[-1.3450974758159622], [-20.795011522106904], [0.29911212401055043]]","[[0.9785339277403765], [0.8363825736764626]]","[[0.008745373018992364], [-0.001233159590818822]]",[[0.09372525732481049]],[[0.07711773781052264]]
9,"[[-0.5293268648652744], [1.1478649029817334], [-0.5240773621701431]]","[[-0.08168887485809902], [0.06040333460595976], [0.09427491936110105]]","[[-0.5296987582529801], [0.9838894507684381], [-0.5211858602828602]]","[[-1.370605758745437], [-20.876752202394737], [0.144287108358354]]","[[0.9794075684305957], [0.8362642043620918]]","[[0.008723819724876236], [-0.001140153489820328]]",[[0.09446067594631755]],[[0.07298937911123912]]
10,"[[-0.5301709669484728], [1.1484457831582082], [-0.5231189666014058]]","[[-0.08347734626544671], [0.05585608705803735], [0.09666642765490258]]","[[-0.5306888030841884], [0.983686786072767], [-0.5210724844556156]]","[[-1.3945903937983348], [-20.955325681170002], [-0.006290206562395428]]","[[0.9802786576718936], [0.8361548751710616]]","[[0.008695037687966867], [-0.0010520972378635918]]",[[0.095155849608329]],[[0.06904516844749314]]
11,"[[-0.5310317674589062], [1.1489823220496573], [-0.522137965448629]]","[[-0.08506483261102758], [0.05152633734418652], [0.09881583015511086]]","[[-0.531672889507411], [0.9834755730765937], [-0.5209245970944555]]","[[-1.4171137061017083], [-21.030830937904472], [-0.15268272691036755]]","[[0.981146496084051], [0.8360541017801822]]","[[0.00865946102336368], [-0.0009687857185247672]]",[[0.09581258914212237]],[[0.0652773348882699]]
12,"[[-0.531907305019252], [1.149476652248869], [-0.521136718479554]]","[[-0.08646258010452401], [0.04740607375145306], [0.10073496341759108]]","[[-0.5326503122786196], [0.9832566742090555], [-0.5207442167398891]]","[[-1.438236005411313], [-21.103364492752753], [-0.2949563343195156]]","[[0.9820104269270489], [0.8359614201814833]]","[[0.008617509401998014], [-0.0008900179020665533]]",[[0.09643262875006352]],[[0.06167845706452009]]
